u0062 xox
u0452 xvgx
u0064 xdx
u004c xdx
u007d xix iil->izrail
u0063 xsx
u0072 xrsx
u0044 xdsx
u0037 xx
u2116 xax
u006c xlx
u0047 xhx
u0052 xrx
u003e xrx
u0039 xžx
u00a6 xchx
u2122 xtx
u002d - /podtrznik
u0031 ´ 1tka https://en.wikipedia.org/wiki/Greek_diacritics
u0032 ´ `
u0023 /᾿
u0036 ´ ˆ
u0033 /᾿ smooth breathing - bez h
u0024 ´ /᾿´
u044c ˇ
u002c ,
u003a : :
u002e .
u003b ?
u044a /ъ
u0456 ˇi
u0438 i
u044d ˇi
u0451 ˇí i´
u0042 ˇí iˆ
u0402 í i´
u0418 I
u0401 ˇí i`
u0457 i
u006a ˇí
u0458 í /iova°
u0435 e
u0065 é e´
u0045 é e`
u0454 e
u0073 qjá ja´
u007a qja
u0053 qjá ja`
u045b qjá ja᾿´
u2030 qjá jaˆu041d N
u040b Já /᾿
u006b ja
u004b Ja
u00b1 já
u0403 Á /A᾿´
u044e qju
u041d N
u0430 a
u0447 č
u0061 á a´
u043b l
u043e o
u0432 v
u0447 č
u0440 r
u043d n
u0413 H
u0433 h
u0030 ó
u0442 t
u0441 s
u0449 šč
u043a k
u0411 B
u0431 b
u0448 š
u043f p
u0434 d
u045e u
u044b y
u0439 j
u0446 c
u041f P
u043c m
u0443 u
u0059 ú u`
u0445 ch
u0437 z
u0455 z
u0077 o
u045a o /᾿
u040a O
u0436 ž
u0068 ý y´
u045f ó o᾿´
u0028 (
u0034 ´ /᾿ alebo 4
u0038 /blesk
u0029 )
u0422 T
u0453 á a᾿´
u0079 ú
u0054 Ot
u0074 ot
u0412 V
u006e o /᾿
u0035 ´ /`᾿
u0048 ó o´
u0421 S
u0414 D
u2020 á aˆ
u0041 á a`
u0490 A /᾿
u0491 a /᾿
u040e U
u0407 I
u0415 E
u045c ú u´
u0070 ps
u2039 10
u041c M
u0425 Ch
u0444 f
u0066 f
u002a /hviezdicka
u0420 R
u041b L
u041a K
u0076 v
u0408 Í
u0427 Č
u006d i
u006f o
u0071 o
u0416 Ž
u2021 í
u203a í
u002f / lomitko /
u005d ]
u005b [
u0417 Z
u0078 x
u007b ú
u0075 u
u0021 !
u0056 I
u040c Ú
u041e O
u0410 A
u007e ´
u0406 I
u041e O
u042a / velky tvrdy jer
u005a IA
u005á IÁ
u0426 C
u0424 f
u0057 O
u0069 i
u004e O
u007c já
u040f Ó
u00a7 xčx
u0051 O
u0050 ps
u0459 ja
