áhxhxly ánhely
bxlxžén blažén
bxlxžéni blažéni
bxlxhosloví blahosloví
bxlxhoslovéňije blahoslovéňije
bxlxho bláho
bxlxhostojáňiji blahostojáňiji
bxlxhosti bláhosti
bxlxhodáťiju blahodáťiju
mxlxtv molítv
mlxsxt° mílosť
mlxsxt°i mílosťi
mxdxnca mladénca
nbxxo nébo
nbxsxnyja nebésnyja
poxdx podóben
prpxdxbnymi prepodóbnymi
prvxdxnych právednych
ržxsxtvóm roždestvóm
ržxsxtvó roždestvó
sščxxénnoje svjaščénnoje
spxxsí spasí
spxxséňije spaséňije
sxtxýni svjatýni
sxtx°ím svjaťím
sxtxóje svjatóje
sxtxúju svjatúju
sxtxých svjatých
sxtxými svjatými
voskxrsxní voskresní
vsečxsxtaja vsečístaja
axx 1
vxx 2
hxx 3
dxx 4
exx 5
zxx 67x
ixx 8
fxx 9
xax 1
xvx 2
xhx 3
xdx 4
xex 5
xzx 67x
xix 8
xfx 9
prijidíte priidíte
