bcxdxy Bohoródicy
bcxdxe Bohoródice
bBcxdxe Bohoródice
bcxdxu Bohoródicu
bxhx Bóh
bxhxu Bóhu
bxhxa Bóha
bxhxoblahodátnaja Bohoblahodátnaja
bxhxomáti Bohomáti
bxhxonevísto Bohonevísto
bxlxhoslovén Blahoslovén
bxlxhoutróben Blahoutróben
bxžxe Bóže
bxžx°ij Bóžij
bxžx°ija Bóžija
bžxsxtvennoje Božéstvennoje
bžxsxtvennoju Božéstvennoju
bžxsxtvennuju Božéstvennuju
bžxsxtvennyja Božéstvennyja
bžxsxtvennaho Božéstvennaho
chxrsxtá Christá
chxrsxté Christé
chxrsxtú Christú
chxrsxťí Chrisťí
cxrxkov Cérkov
cxrxjá Carjá
cxrxévi Carévi
cxrsxtvo Cárstvo
dvxxdskuju Davídskuju
dxchxa Dúcha
dxchxu Dúchu
dvxxo Ďívo
dvxxy Ďívy
hxdsxa Hóspoda
hxdsxňa Hospódňa
hxdsxi Hóspodi
hxdsx Hospóď
hxdsx° Hospóď
hxdsx°i Hóspoďi
hxdsxevi Hóspodevi
hxdsxne Hospódne
hxdsxu Hóspodu
ixixľ Izráiľ
ixixse Iisúse
mxtxr Máter
mxrxíju Maríju
oxcxá Otcá
ocxxá Otcá
ocxxú Otcú
prebxlxhoslovénnuju preblahoslovénnuju
presxtxýja Presvjatýja
presxtxája Presvjatája
Presxtxúju Presvjatúju
prisnodvxxy Prisnoďívy
prisnodvxxo Prisnoďívo
prisnodvxxu Prisnoďívu
prečxsxtaho Prečístaho
prečxsxtyja Prečístyja
prečxsxtuju Prečístuju
sxnxa Sýna
snxxa Sýna
sxnxe Sýne
snxxu Sýnu
spxxse Spáse
sxščxénnik Svjaščénnik
sxtxómu Svjatómu
sxtxáho Svjatáho
vxdxko Vladýko
vxdxčce Vladýčice
vxdxčcy Vladýčicy
vxdxčcu Vladýčicu
čxlxvikoľúbče Čelovikoľúbče
čxsxtaja Čístaja
čxsxtnája Čestnája
čxsxtnýja Čestnýja
